name,email,available_days,max_hours_per_day,max_hours_per_week
Andrew Morrison,a.morrison@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Claire Obi,c.obi@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Daniel Fitzpatrick,d.fitzpatrick@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Emma Larsson,e.larsson@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Frank Yeboah,f.yeboah@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Grace Kowalski,g.kowalski@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Henry Nakamura,h.nakamura@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Isla MacDonald,i.macdonald@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Jack Petrov,j.petrov@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Karen Singh,k.singh@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Liam Brennan,l.brennan@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Maya Thompson,m.thompson@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Nathan Owusu,n.owusu@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Olivia Fernandez,o.fernandez@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Paul Ivanov,p.ivanov@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Quinn Delacroix,q.delacroix@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Rose Kamau,r.kamau@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Samuel Whitfield,s.whitfield@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Tara Andersen,t.andersen@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Umar Hassan,u.hassan@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Victor Mensah,v.mensah@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Wendy Johansson,w.johansson@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Xavier Nkosi,x.nkosi@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Yasmin Chaudhry,y.chaudhry@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Zoe Bergmann,z.bergmann@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Aaron Osei,a.osei@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Beatrice Lombardi,b.lombardi@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Chris Reinholt,c.reinholt@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Diana Akello,d.akello@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Edward Carlisle,e.carlisle@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Fiona O'Brien,f.obrien@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Gerald Nwosu,g.nwosu@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Hannah Svensson,h.svensson@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Ivan Kozlov,i.kozlov@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Julia Martins,j.martins@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Karl Hoffmann,k.hoffmann@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Laura Nkemdirim,l.nkemdirim@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Marcus Johansson,m.johansson@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Nina Papadopoulos,n.papadopoulos@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Oscar Adeyemi,o.adeyemi@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Priya Ramachandran,p.ramachandran@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Quentin Dubois,q.dubois@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Rita Okonkwo,r.okonkwo@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Stefan Korhonen,s.korhonen@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
Theresa Goldberg,t.goldberg@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Ulrich Bauer,u.bauer@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Valeria Cruz,v.cruz@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
William Acheampong,w.acheampong@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,18
Xenia Volkov,x.volkov@riverside.edu,Mon;Tue;Wed;Thu;Fri,5,20
Yusuf Al-Rashid,y.alrashid@riverside.edu,Mon;Tue;Wed;Thu;Fri,4,16
