code,name,hours_per_week,room_type,class_type,frequency,lecturer_email
MATH-101,Mathematics Year 1,4,lecture,lecture,weekly,m.collins@greenwood.edu
MATH-102,Mathematics Year 2,4,lecture,lecture,weekly,m.collins@greenwood.edu
MATH-103,Mathematics Year 3,4,lecture,lecture,weekly,j.okafor@greenwood.edu
MATH-104,Mathematics Year 4,4,lecture,lecture,weekly,j.okafor@greenwood.edu
MATH-105,Mathematics Year 5,4,lecture,lecture,weekly,j.okafor@greenwood.edu
ENG-101,English Year 1,4,lecture,lecture,weekly,s.hartley@greenwood.edu
ENG-102,English Year 2,4,lecture,lecture,weekly,s.hartley@greenwood.edu
ENG-103,English Year 3,4,lecture,lecture,weekly,d.patel@greenwood.edu
ENG-104,English Year 4,4,lecture,lecture,weekly,d.patel@greenwood.edu
ENG-105,English Year 5,4,lecture,lecture,weekly,d.patel@greenwood.edu
SCI-101,Science Year 1,3,lecture,lecture,weekly,r.nguyen@greenwood.edu
SCI-102,Science Year 2,3,lecture,lecture,weekly,r.nguyen@greenwood.edu
SCI-103,Science Year 3,2,lecture,lecture,weekly,t.brennan@greenwood.edu
SCI-103L,Science Lab Year 3,1,lab,lab,weekly,t.brennan@greenwood.edu
SCI-104,Science Year 4,2,lecture,lecture,weekly,t.brennan@greenwood.edu
SCI-104L,Science Lab Year 4,1,lab,lab,weekly,t.brennan@greenwood.edu
SCI-105,Science Year 5,2,lecture,lecture,weekly,t.brennan@greenwood.edu
SCI-105L,Science Lab Year 5,1,lab,lab,weekly,t.brennan@greenwood.edu
HIST-101,History Year 1,2,lecture,lecture,weekly,l.schreiber@greenwood.edu
HIST-102,History Year 2,2,lecture,lecture,weekly,l.schreiber@greenwood.edu
HIST-103,History Year 3,2,lecture,lecture,weekly,l.schreiber@greenwood.edu
HIST-104,History Year 4,2,lecture,lecture,weekly,l.schreiber@greenwood.edu
HIST-105,History Year 5,2,lecture,lecture,weekly,l.schreiber@greenwood.edu
GEO-101,Geography Year 1,2,lecture,lecture,weekly,k.adeyemi@greenwood.edu
GEO-102,Geography Year 2,2,lecture,lecture,weekly,k.adeyemi@greenwood.edu
GEO-103,Geography Year 3,2,lecture,lecture,weekly,k.adeyemi@greenwood.edu
GEO-104,Geography Year 4,2,lecture,lecture,weekly,k.adeyemi@greenwood.edu
GEO-105,Geography Year 5,2,lecture,lecture,weekly,k.adeyemi@greenwood.edu
PE-101,Physical Education Year 1,2,lecture,lecture,weekly,p.walsh@greenwood.edu
PE-102,Physical Education Year 2,2,lecture,lecture,weekly,p.walsh@greenwood.edu
PE-103,Physical Education Year 3,2,lecture,lecture,weekly,p.walsh@greenwood.edu
PE-104,Physical Education Year 4,2,lecture,lecture,weekly,p.walsh@greenwood.edu
PE-105,Physical Education Year 5,2,lecture,lecture,weekly,p.walsh@greenwood.edu
CS-101,Computer Studies Year 1,2,lab,lab,weekly,g.thornton@greenwood.edu
CS-102,Computer Studies Year 2,2,lab,lab,weekly,g.thornton@greenwood.edu
CS-103,Computer Studies Year 3,2,lab,lab,weekly,g.thornton@greenwood.edu
CS-104,Computer Studies Year 4,2,lab,lab,weekly,g.thornton@greenwood.edu
CS-105,Computer Studies Year 5,2,lab,lab,weekly,g.thornton@greenwood.edu
