code,name,hours_per_week,room_type,class_type,frequency,lecturer_email
FNDN-101,Foundation Mathematics,4,lecture,lecture,weekly,a.turing@nit.edu
FNDN-102,Foundation Physics,3,lecture,lecture,weekly,k.hoffmann@nit.edu
FNDN-102L,Foundation Physics Lab,2,lab,lab,weekly,k.hoffmann@nit.edu
FNDN-103,Foundation Chemistry,3,lecture,lecture,weekly,n.kovacs@nit.edu
FNDN-103L,Foundation Chemistry Lab,2,lab,lab,weekly,n.kovacs@nit.edu
FNDN-104,Foundation Computing,3,lecture,lecture,weekly,b.liskov@nit.edu
FNDN-104L,Foundation Computing Lab,2,lab,lab,weekly,b.liskov@nit.edu
FNDN-105,Academic Writing and Communication,2,lecture,lecture,weekly,w.thornton@nit.edu
FNDN-106,Introduction to Engineering,2,lecture,lecture,weekly,q.rousseau@nit.edu
CS-101,Introduction to Programming,3,lecture,lecture,weekly,a.turing@nit.edu
CS-101L,Introduction to Programming Lab,2,lab,lab,weekly,g.chen@nit.edu
CS-102,Discrete Mathematics for CS,3,lecture,lecture,weekly,b.liskov@nit.edu
CS-201,Data Structures and Algorithms,3,lecture,lecture,weekly,b.liskov@nit.edu
CS-201T,Data Structures Tutorial,1,lecture,tutorial,weekly,d.park@nit.edu
CS-202,Computer Architecture,3,lecture,lecture,weekly,c.mendez@nit.edu
CS-202L,Computer Architecture Lab,2,lab,lab,weekly,g.chen@nit.edu
CS-203,Operating Systems,3,lecture,lecture,weekly,e.dijkstra@nit.edu
CS-203L,Operating Systems Lab,2,lab,lab,weekly,j.okafor@nit.edu
CS-301,Database Systems,3,lecture,lecture,weekly,c.mendez@nit.edu
CS-301L,Database Systems Lab,2,lab,lab,weekly,d.park@nit.edu
CS-302,Computer Networks,3,lecture,lecture,weekly,e.dijkstra@nit.edu
CS-302L,Computer Networks Lab,2,lab,lab,weekly,j.okafor@nit.edu
CS-303,Software Engineering,3,lecture,lecture,weekly,f.alzahrawi@nit.edu
CS-303T,Software Engineering Tutorial,1,lecture,tutorial,weekly,s.osei@nit.edu
CS-304,Artificial Intelligence,3,lecture,lecture,weekly,a.turing@nit.edu
CS-304L,Artificial Intelligence Lab,2,lab,lab,weekly,g.chen@nit.edu
CS-401,Machine Learning,3,lecture,lecture,weekly,b.liskov@nit.edu
CS-401L,Machine Learning Lab,2,lab,lab,weekly,d.park@nit.edu
CS-402,Distributed Systems,3,lecture,lecture,weekly,e.dijkstra@nit.edu
CS-403,Compiler Design,3,lecture,lecture,biweekly,c.mendez@nit.edu
CS-404,Computer Vision,3,lecture,lecture,biweekly,f.alzahrawi@nit.edu
CS-404L,Computer Vision Lab,2,lab,lab,biweekly,g.chen@nit.edu
CS-501,Advanced Algorithms,3,lecture,lecture,weekly,a.turing@nit.edu
CS-502,Deep Learning,3,lecture,lecture,weekly,b.liskov@nit.edu
